COUNTY_COD,SECTION,TOWNSHIP,RANGE,LEASE_NAME,WELL_NUMBE,STATUS,MAXPRESSUR,MAXRATE,LATTITUDE,LONGITUDE,OPERATOR_,OPERATOR
25.000000,30.000000,04N,09E,SE BURTON UNIT (KRONE 4),4-2,PA,1200,1500,36.785641,-102.136900,17048.000000,WHITING OIL AND GAS CORP
25.000000,30.000000,04N,09E,SE BURTON UNIT (J.T. KRONE A2),11-2,PA,1200,1500,36.778390,-102.136900,17048.000000,WHITING OIL AND GAS CORP
25.000000,30.000000,04N,09E,SE BURTON UNIT,10-1,TM,1200,1500,36.782923,-102.129000,16896.000000,CHAPARRAL ENERGY LLC
25.000000,19.000000,02N,09E,GRABEAL,1-A,AC,300,1500,36.623407,-102.129000,18444.000000,WEINKAUF PETROLEUM INC
25.000000,19.000000,02N,09E,GRABEAL,1-A,AC,1500,1000,36.623407,-102.129000,18444.000000,WEINKAUF PETROLEUM INC
25.000000,31.000000,06N,09E,FRENCH,1-31,TM,1500,10000,36.942182,-102.128700,8702.000000,GRAND RESOURCES INC
25.000000,30.000000,04N,09E,SE BURTON UNIT (HETHERINGTON 3,5-3,PA,1200,1500,36.789267,-102.127800,17048.000000,WHITING OIL AND GAS CORP
25.000000,31.000000,01N,09E,BRUERE,1,AC,200,250,36.510115,-102.127800,1701.000000,CONOCOPHILLIPS COMPANY
25.000000,31.000000,01N,09E,BRUERE,1,AC,200,250,36.510115,-102.127800,1701.000000,CONOCOPHILLIPS COMPANY
25.000000,30.000000,04N,09E,SE BURTON U (HETHERINGTON 4A),5-4A,AC,1200,1500,36.786548,-102.124500,16896.000000,CHAPARRAL ENERGY LLC
25.000000,19.000000,04N,09E,SE BURTON UNIT (CLUCK 1A),3-1A,TM,1200,1500,36.792893,-102.123300,16896.000000,CHAPARRAL ENERGY LLC
25.000000,30.000000,04N,09E,SE BURTON U (JOHN T. KRANE 3),10-3,AC,600,300,36.778391,-102.123300,16896.000000,CHAPARRAL ENERGY LLC
25.000000,30.000000,04N,09E,SE BURTON U (JOHN T. KRANE 3),10-3,AC,0,0,36.778391,-102.123300,16896.000000,CHAPARRAL ENERGY LLC
25.000000,30.000000,04N,09E,SE BURTON U (JOHN T. KRANE 3),10-3,AC,0,0,36.778391,-102.123300,16896.000000,CHAPARRAL ENERGY LLC
25.000000,29.000000,04N,09E,SE BURTON UNIT (CLUCK 1),6-1,PA,1200,1500,36.789213,-102.118800,17048.000000,WHITING OIL AND GAS CORP
25.000000,32.000000,04N,09E,SE BURTON UNIT (BARNES C1),13-1,PA,1200,1000,36.774712,-102.118800,17048.000000,WHITING OIL AND GAS CORP
25.000000,20.000000,04N,09E,SE BURTON UNIT,2-3,AC,2000,1000,36.796464,-102.114300,16896.000000,CHAPARRAL ENERGY LLC
25.000000,20.000000,04N,09E,SE BURTON UNIT (CLUCK A2),2-2,AC,1200,1500,36.792839,-102.114300,16896.000000,CHAPARRAL ENERGY LLC
25.000000,29.000000,04N,09E,SE BURTON UNIT (CLUCK 4),6-4,TM,1200,1500,36.785588,-102.114300,17048.000000,WHITING OIL AND GAS CORP
25.000000,20.000000,02N,09E,MILLER TRUST,3-20,AC,300,1500,36.620635,-102.110900,18444.000000,WEINKAUF PETROLEUM INC
25.000000,20.000000,04N,09E,SE BURTON UNIT (MARTIN 2),1-2,AC,1200,1500,36.795558,-102.108700,16896.000000,CHAPARRAL ENERGY LLC
25.000000,34.000000,02N,09E,G.N. DENCKER,4,PA,500,500,36.598769,-102.071500,13734.000000,TEXACO EXPLORATION & PROD INC
25.000000,34.000000,03N,09E,PUGH,5,PA,250,350,36.683965,-102.069300,1023.000000,HODGE T F
25.000000,15.000000,01N,09E,ELLINGTON GU,1,PA,500,250,36.546201,-102.069300,10950.000000,MANUEL CORPORATION
25.000000,15.000000,01N,09E,ELLINGTON GU,1,PA,500,250,36.546201,-102.069300,10950.000000,MANUEL CORPORATION
25.000000,15.000000,01N,09E,ELLINGTON GU,1,PA,500,250,36.546201,-102.069300,10950.000000,MANUEL CORPORATION
25.000000,22.000000,01N,09E,PALMER,1,PA,0,1000,36.542576,-102.069300,3853.000000,HUNT CHRIS WATER HAULING CONTRACTOR INC
25.000000,34.000000,03N,09E,PUGH,1,PA,600,500,36.688043,-102.068700,19039.000000,PLO INC
25.000000,15.000000,06N,09E,STATE OF OKLAHOMA,1-15,PA,100,80,36.991861,-102.066700,13029.000000,QUINQUE OPERATING COMPANY
25.000000,26.000000,03N,09E,SMKSU,16,TM,2000,1750,36.692966,-102.062500,16045.000000,MEDICINE BOW OPERATING COMPANY
25.000000,35.000000,04N,09E,MIDWELL,8-35,TM,1500,1500,36.772271,-102.057400,21176.000000,ARENA RESOURCES INC
25.000000,26.000000,03N,09E,SMKSU (OTIS HANES 13),13,TM,200,500,36.692060,-102.056900,21068.000000,WEGO SERVICES INC
25.000000,26.000000,03N,09E,SMKSU (OTIS HANES 13),13,TM,200,500,36.692060,-102.056900,21068.000000,WEGO SERVICES INC
25.000000,23.000000,03N,09E,SMKSU,1X,PA,2000,4000,36.709734,-102.056300,16045.000000,MEDICINE BOW OPERATING COMPANY
25.000000,26.000000,03N,09E,SMKSU,9,PA,2000,1500,36.694779,-102.055700,16045.000000,MEDICINE BOW OPERATING COMPANY
25.000000,26.000000,01N,09E,HAWKINS  H S,2,PA,300,150,36.520763,-102.055700,13734.000000,TEXACO EXPLORATION & PROD INC
25.000000,26.000000,04N,09E,G.T. HENDERSON,2,AC,1500,1500,36.778162,-102.051200,16011.000000,MID-CON ENERGY OPERATING INC
25.000000,25.000000,03N,09E,SMALTS  ELSIE,4,PA,100,300,36.695620,-102.047800,16341.000000,LONGHORN OIL COMPANY
25.000000,1.000000,02N,09E,ROWAN TRUST,2,PA,150,200,36.661179,-102.047800,5265.000000,CROUCH PETROLEUM COMPANY
25.000000,25.000000,03N,09E,SMKSU,8,TM,2000,1750,36.698339,-102.046700,16045.000000,MEDICINE BOW OPERATING COMPANY
25.000000,36.000000,05N,09E,JORDAN,2,AC,0,30,36.861224,-102.044100,16011.000000,MID-CON ENERGY OPERATING INC
25.000000,36.000000,05N,09E,JORDAN,3,PA,0,0,36.857599,-102.044100,4990.000000,RUPE OIL COMPANY INC
25.000000,24.000000,03N,09E,ROBERTS SWD,1,PA,1000,500,36.716467,-102.042200,99.000000,ARCO OIL AND GAS COMPANY
25.000000,36.000000,02N,09E,STATE GRIGGS,2-36,AC,500,1500,36.593205,-102.042200,18444.000000,WEINKAUF PETROLEUM INC
25.000000,1.000000,01N,09E,STEELE,C1,TM,1000,300,36.582329,-102.042200,7402.000000,MULTISTATES OIL PROPERTIES NV
25.000000,12.000000,01N,09E,BUSTER GUM,1,TM,150,100,36.567828,-102.042200,18978.000000,COOK ROBERT L
25.000000,24.000000,01N,09E,CHUMAN,3,PA,1000,600,36.537013,-102.039900,2153.000000,TEXACO  INC
25.000000,36.000000,04N,09E,APPLEBY,5-36,TM,500,300,36.763596,-102.037700,304.000000,BURK ROYALTY CO LTD
25.000000,13.000000,03N,09E,HANES  ROY,3-13,AC,1000,1000,36.721905,-102.035500,16011.000000,MID-CON ENERGY OPERATING INC
25.000000,13.000000,03N,09E,HANES  ROY,3-13,AC,500,1000,36.721905,-102.035500,16011.000000,MID-CON ENERGY OPERATING INC
25.000000,24.000000,06N,09E,CANNING,2,TM,1000,200,36.977234,-102.035100,2235.000000,UNDERWOOD RIP C
25.000000,1.000000,03N,09E,CAREY-GOWDY UNIT,8,PA,1000,400,36.750001,-102.034300,21003.000000,XTO ENERGY INC
25.000000,1.000000,03N,09E,CAREY-GOWDY UNIT,8,PA,1000,400,36.750001,-102.034300,21003.000000,XTO ENERGY INC
25.000000,13.000000,03N,09E,ROY HANES UNIT,5-13,TM,1500,1500,36.727343,-102.034300,22281.000000,SANDRIDGE EXPLORATION & PRODUCTION LLC
25.000000,25.000000,04N,09E,OMU,25-12,TM,2000,1500,36.785349,-102.033200,16045.000000,MEDICINE BOW OPERATING COMPANY
25.000000,24.000000,06N,09E,CANNING,5-24,TM,0,450,36.972702,-102.032800,5415.000000,SAMSON RESOURCES COMPANY
139.000000,26.000000,06N,10E,"QUIGLEY  ""B""",3,TM,500,500,36.951081,-101.954700,14597.000000,ANADARKO PETROLEUM CORPORATION
139.000000,14.000000,06N,10E,CARTHAGE NE MORROW A TR,4-1,TM,1200,3000,36.981896,-101.943400,2153.000000,TEXACO  INC
139.000000,29.000000,06N,11E,CARTHAGE II UNIT,1102W,TM,2000,1500,36.962151,-101.891400,9012.000000,OXY USA INC
139.000000,4.000000,05N,12E,"SUTTON ""A""",2-4,PA,0,200,36.922629,-101.769500,14597.000000,ANADARKO PETROLEUM CORPORATION
139.000000,33.000000,06N,13E,E POSTLE MORROW G UNIT,11-5,TM,0,0,36.944578,-101.661100,14597.000000,ANADARKO PETROLEUM CORPORATION
139.000000,26.000000,05N,13E,WEST HOUGH MORROW UNIT  (TERM),8,TM,2500,2000,36.864867,-101.616000,1489.000000,EXXONMOBIL OIL CORPORATION
139.000000,35.000000,05N,13E,WEST HOUGH MORROW UNIT  (TERM),19,TM,2500,2000,36.857617,-101.616000,1489.000000,EXXONMOBIL OIL CORPORATION
139.000000,35.000000,05N,13E,WEST HOUGH MORROW UNIT  (TERM),19,TM,2500,2000,36.857617,-101.616000,1489.000000,EXXONMOBIL OIL CORPORATION
139.000000,36.000000,05N,13E,WEST HOUGH MORROW UNIT  (TERM),101,TM,2500,2000,36.861259,-101.611400,1489.000000,EXXONMOBIL OIL CORPORATION
139.000000,36.000000,05N,13E,WEST HOUGH MORROW UNIT  (TERM),102,TM,2500,2000,36.854008,-101.611400,1489.000000,EXXONMOBIL OIL CORPORATION
139.000000,25.000000,05N,13E,WEST HOUGH MORROW UNIT  (TERM),100,TM,2500,2000,36.864884,-101.606900,1489.000000,EXXONMOBIL OIL CORPORATION
139.000000,1.000000,04N,13E,WEST HOUGH MORROW UNIT,55,PA,0,0,36.847561,-101.602600,1489.000000,EXXONMOBIL OIL CORPORATION
139.000000,6.000000,04N,14E,MCDANIEL SHIELDS UNIT,3-2,TM,2000,2000,36.843951,-101.589100,14597.000000,ANADARKO PETROLEUM CORPORATION
139.000000,11.000000,03N,18E,NE HARDESTY UNIT,35-2,PA,2000,10000,36.738127,-101.084400,14597.000000,ANADARKO PETROLEUM CORPORATION
7.000000,30.000000,01N,20E,CAMRICK UNIT,3032,TM,2000,1060,36.522669,-100.954300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,31.000000,01N,20E,CAMRICK ROSE LEHMAN NO. 1,3141,TM,2000,2000,36.511793,-100.954300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,31.000000,01N,20E,CAMRICK ROSE LEHMAN NO. 1,3141,TM,2000,1230,36.511793,-100.954300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,31.000000,01N,20E,CAMRICK,3117,AC,2999,2000,36.510887,-100.953200,16896.000000,CHAPARRAL ENERGY LLC
7.000000,31.000000,01N,20E,CAMRICK UNIT,3161,AC,2000,2000,36.504542,-100.949900,16896.000000,CHAPARRAL ENERGY LLC
7.000000,31.000000,01N,20E,CAMRICK UNIT,3161,AC,1600,500,36.504542,-100.949900,16896.000000,CHAPARRAL ENERGY LLC
7.000000,19.000000,01N,20E,NW CAMRICK UNIT,15-4,AC,2000,4000,36.541703,-100.946500,16896.000000,CHAPARRAL ENERGY LLC
7.000000,19.000000,01N,20E,NW CAMRICK UNIT,15-1,AC,2000,2000,36.536264,-100.946500,16896.000000,CHAPARRAL ENERGY LLC
7.000000,19.000000,01N,20E,NW CAMRICK UNIT,15-1,AC,2000,2000,36.536264,-100.946500,16896.000000,CHAPARRAL ENERGY LLC
7.000000,19.000000,01N,20E,NW CAMRICK UNIT,15-1,AC,3000,900,36.536264,-100.946500,16896.000000,CHAPARRAL ENERGY LLC
7.000000,30.000000,01N,20E,CAMRICK UNIT,3062,AC,2000,2000,36.515872,-100.945900,16896.000000,CHAPARRAL ENERGY LLC
7.000000,31.000000,01N,20E,CAMRICK (CORBIN LEHMANN NO. 2),3112,AC,2000,2000,36.508168,-100.945400,16896.000000,CHAPARRAL ENERGY LLC
7.000000,31.000000,01N,20E,CAMRICK (CORBIN LEHMANN NO. 2),3112,AC,0,0,36.508168,-100.945400,16896.000000,CHAPARRAL ENERGY LLC
7.000000,31.000000,01N,20E,CAMRICK PLANT,1-SWD,PA,0,5000,36.500917,-100.945400,2153.000000,TEXACO  INC
7.000000,31.000000,01N,20E,CAMRICK,3172,AC,2000,2000,36.500917,-100.945400,16896.000000,CHAPARRAL ENERGY LLC
7.000000,18.000000,01N,20E,NW CAMRICK UNIT,14-1,AC,2000,4000,36.544421,-100.940900,16896.000000,CHAPARRAL ENERGY LLC
7.000000,18.000000,01N,20E,NW CAMRICK UNIT,14-1,AC,3000,2050,36.544421,-100.940900,16896.000000,CHAPARRAL ENERGY LLC
7.000000,31.000000,01N,20E,CAMRICK,3114,AC,2000,2000,36.507262,-100.939700,16896.000000,CHAPARRAL ENERGY LLC
7.000000,31.000000,01N,20E,CAMRICK,3114,AC,2000,0,36.507262,-100.939700,16896.000000,CHAPARRAL ENERGY LLC
7.000000,31.000000,01N,20E,CAMRICK,3114,AC,0,0,36.507262,-100.939700,16896.000000,CHAPARRAL ENERGY LLC
7.000000,17.000000,01N,20E,NW CAMRICK UNIT,8-3,AC,3000,750,36.555374,-100.936300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,17.000000,01N,20E,NW CAMRICK UNIT,9-2,TM,2500,1000,36.551749,-100.936300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,20.000000,01N,20E,NW CAMRICK UNIT,19-7,PA,2500,1000,36.537248,-100.936300,3653.000000,CIMAREX ENERGY CO OF COLORADO
7.000000,20.000000,01N,20E,NW CAMRICK UNIT,19-4,TM,3000,450,36.529997,-100.936300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,32.000000,01N,20E,CAMRICK,3252,AC,2000,2000,36.504620,-100.936300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,29.000000,01N,20E,CAMRICK,2962,AC,2000,2000,36.514589,-100.935200,16896.000000,CHAPARRAL ENERGY LLC
7.000000,29.000000,01N,20E,CAMRICK,2962,AC,1500,1800,36.514589,-100.935200,16896.000000,CHAPARRAL ENERGY LLC
7.000000,8.000000,01N,20E,FLOWERS,B2,PA,3000,350,36.565344,-100.930700,99.000000,ARCO OIL AND GAS COMPANY
7.000000,20.000000,01N,20E,NW CAMRICK UNIT,19-1,TM,0,0,36.536342,-100.930700,16896.000000,CHAPARRAL ENERGY LLC
7.000000,32.000000,01N,20E,CAMRICK UNIT,3233,AC,2000,2000,36.512778,-100.930700,16896.000000,CHAPARRAL ENERGY LLC
7.000000,32.000000,01N,20E,CAMRICK UNIT,3233,AC,2000,2000,36.512778,-100.930700,16896.000000,CHAPARRAL ENERGY LLC
7.000000,32.000000,01N,20E,CAMRICK UNIT,3233,AC,2000,1425,36.512778,-100.930700,16896.000000,CHAPARRAL ENERGY LLC
7.000000,32.000000,01N,20E,CAMRICK UNIT,3262,AC,2000,2000,36.501901,-100.930700,16896.000000,CHAPARRAL ENERGY LLC
7.000000,32.000000,01N,20E,CAMRICK UNIT,3262,AC,2000,1230,36.501901,-100.930700,16896.000000,CHAPARRAL ENERGY LLC
7.000000,17.000000,01N,20E,NW CAMRICK UNIT,7-1,TM,2000,1000,36.551750,-100.927300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,20.000000,01N,20E,NW CAMRICK UNIT,20-1,TM,0,0,36.533623,-100.927300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,32.000000,01N,20E,CAMRICK UNIT,3213,AC,2000,2000,36.509152,-100.926200,16896.000000,CHAPARRAL ENERGY LLC
7.000000,32.000000,01N,20E,CAMRICK UNIT,3213,AC,2000,2000,36.509152,-100.926200,16896.000000,CHAPARRAL ENERGY LLC
7.000000,32.000000,01N,20E,CAMRICK UNIT,3213,AC,1200,1500,36.509152,-100.926200,16896.000000,CHAPARRAL ENERGY LLC
7.000000,5.000000,01N,20E,HOOVER,1SWD,AC,1000,10000,36.575767,-100.925700,16711.000000,UNIT PETROLEUM COMPANY
7.000000,20.000000,01N,20E,NW CAMRICK UNIT,21-1,AC,3000,1200,36.529998,-100.922800,16896.000000,CHAPARRAL ENERGY LLC
7.000000,29.000000,01N,20E,NW CAMRICK UNIT,24-5,TM,2000,1000,36.522747,-100.922800,1640.000000,BP AMERICA PRODUCTION COMPANY
7.000000,29.000000,01N,20E,CAMRICK,2974,AC,2000,2000,36.519122,-100.922800,16896.000000,CHAPARRAL ENERGY LLC
7.000000,32.000000,01N,20E,CAMRICK (JOHN T. APPLE NO. 4),3281,TM,2000,2000,36.504621,-100.922800,16896.000000,CHAPARRAL ENERGY LLC
7.000000,32.000000,01N,20E,CAMRICK (JOHN T. APPLE NO. 4),3281,TM,1400,1300,36.504621,-100.922800,16896.000000,CHAPARRAL ENERGY LLC
7.000000,9.000000,01N,20E,NW CAMRICK UNIT,4-2,TM,0,0,36.559074,-100.918300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,16.000000,01N,20E,NW CAMRICK UNIT,1-5,TM,0,0,36.555449,-100.918300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,28.000000,01N,20E,CAMRICK UNIT (J. BOESE NO. 2),2851,TM,2000,2000,36.515570,-100.918300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,28.000000,01N,20E,CAMRICK UNIT (J. BOESE NO. 2),2851,TM,1500,1500,36.515570,-100.918300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,33.000000,01N,20E,CAMRICK,3341,AC,2000,2000,36.511945,-100.918300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,33.000000,01N,20E,CAMRICK UNIT,3341,TM,1000,530,36.511945,-100.918300,1079.000000,EXXON MOBIL CORPORATION
7.000000,33.000000,01N,20E,CAMRICK (JOHN T. APPLE NO. 2),3351,AC,2000,2000,36.502882,-100.918300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,33.000000,01N,20E,CAMRICK (JOHN T. APPLE NO. 2),3351,AC,0,0,36.502882,-100.918300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,21.000000,01N,20E,CAMRICK UNIT,3,AC,1000,7000,36.529165,-100.917200,16896.000000,CHAPARRAL ENERGY LLC
7.000000,21.000000,01N,20E,CAMRICK UNIT,2131,AC,2000,2000,36.533698,-100.913800,16896.000000,CHAPARRAL ENERGY LLC
7.000000,21.000000,01N,20E,CAMRICK UNIT,2131,AC,0,0,36.533698,-100.913800,16896.000000,CHAPARRAL ENERGY LLC
7.000000,21.000000,01N,20E,CAMRICK UNIT,2131,AC,0,0,36.533698,-100.913800,16896.000000,CHAPARRAL ENERGY LLC
7.000000,28.000000,01N,20E,CAMRICK,1,AC,325,2000,36.519196,-100.913800,16896.000000,CHAPARRAL ENERGY LLC
7.000000,28.000000,01N,20E,CAMRICK UNIT CLARA ALLEN NO. 2,2872,AC,2000,2000,36.515571,-100.909300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,28.000000,01N,20E,CAMRICK UNIT CLARA ALLEN NO. 2,2872,AC,2000,980,36.515571,-100.909300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,33.000000,01N,20E,CAMRICK,3371,AC,2000,2000,36.501070,-100.909300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,21.000000,02N,20E,S BOYD EXTENSION UNIT,39-1,TM,0,0,36.620706,-100.904800,19961.000000,HUNTINGTON ENERGY LLC
7.000000,21.000000,01N,20E,CAMRICK UNIT,2111,PA,0,0,36.540949,-100.904800,14112.000000,ELAND ENERGY INC
7.000000,21.000000,01N,20E,CAMRICK,2111,PA,0,0,36.540949,-100.904800,9998.000000,OTC-OCC NO ASSIGNED
7.000000,21.000000,01N,20E,CAMRICK UNIT (MARY TOMLIN #2),2112,AC,2000,2000,36.537324,-100.904800,16896.000000,CHAPARRAL ENERGY LLC
7.000000,21.000000,01N,20E,CAMRICK UNIT (MARY TOMLIN #2),2112,AC,0,0,36.537324,-100.904800,16896.000000,CHAPARRAL ENERGY LLC
7.000000,28.000000,01N,20E,CAMRICK,2811,AC,2000,2000,36.526448,-100.904800,16896.000000,CHAPARRAL ENERGY LLC
7.000000,28.000000,01N,20E,CAMRICK,2811,AC,2000,650,36.526448,-100.904800,16896.000000,CHAPARRAL ENERGY LLC
7.000000,33.000000,01N,20E,CAMRICK UNIT (L BRANSGROVE 3),3311,AC,2000,2000,36.508321,-100.904800,16896.000000,CHAPARRAL ENERGY LLC
7.000000,33.000000,01N,20E,CAMRICK UNIT (L BRANSGROVE 3),3311,AC,2000,710,36.508321,-100.904800,16896.000000,CHAPARRAL ENERGY LLC
7.000000,33.000000,01N,20E,CAMRICK UNIT (L BRANSGROVE 3),3311,AC,2000,710,36.508321,-100.904800,16896.000000,CHAPARRAL ENERGY LLC
7.000000,15.000000,02N,20E,S BOYD EXTENSION UNIT,13-2,TM,.,.,36.631653,-100.900300,19961.000000,HUNTINGTON ENERGY LLC
7.000000,15.000000,02N,20E,S BOYD EXTENSION UNIT,13-2,TM,3500,650,36.631653,-100.900300,19961.000000,HUNTINGTON ENERGY LLC
7.000000,15.000000,01N,20E,CAMRICK,1531,AC,2000,2000,36.551896,-100.900300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,15.000000,01N,20E,CAMRICK UNIT (CARL NIEDENS 1),1551,PA,0,0,36.544645,-100.900300,14112.000000,ELAND ENERGY INC
7.000000,22.000000,01N,20E,CAMRICK,2174,AC,2000,2000,36.533769,-100.900300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,22.000000,01N,20E,CAMRICK,2174,AC,0,0,36.533769,-100.900300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,27.000000,01N,20E,CAMRICK,2741,AC,2000,2000,36.522893,-100.900300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,27.000000,01N,20E,CAMRICK,2751,AC,2000,2000,36.515642,-100.900300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,27.000000,01N,20E,CAMRICK,2751,AC,2000,455,36.515642,-100.900300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,34.000000,01N,20E,CAMRICK (J.R. ANDERSON NO. 2),3451,PA,2000,820,36.501141,-100.900300,1079.000000,EXXON MOBIL CORPORATION
7.000000,22.000000,02N,20E,BOYD,36-2,TM,.,.,36.628028,-100.895800,18046.000000,BROTHERS PRODUCTION CO INC
7.000000,22.000000,02N,20E,S BOYD EXTENSION UNIT,35-1,TM,3500,500,36.624403,-100.895800,19961.000000,HUNTINGTON ENERGY LLC
7.000000,27.000000,01N,20E,CAMRICK (COLLINS NO. 1),2761,TM,1500,1000,36.519268,-100.895800,1079.000000,EXXON MOBIL CORPORATION
7.000000,34.000000,01N,20E,CAMRICK,3461,AC,2000,2000,36.504767,-100.895800,16896.000000,CHAPARRAL ENERGY LLC
7.000000,27.000000,01N,20E,CAMRICK UNIT,2762,AC,2000,2000,36.514736,-100.894700,16896.000000,CHAPARRAL ENERGY LLC
7.000000,27.000000,01N,20E,CAMRICK UNIT,2762,AC,1400,1300,36.514736,-100.894700,16896.000000,CHAPARRAL ENERGY LLC
7.000000,22.000000,01N,20E,CAMRICK UNIT,2271,AC,2000,2000,36.533770,-100.891300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,22.000000,01N,20E,CAMRICK UNIT,2271,AC,2000,565,36.533770,-100.891300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,22.000000,01N,20E,CAMRICK UNIT,2271,AC,2000,565,36.533770,-100.891300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,27.000000,01N,20E,CAMRICK (SARGENT NO. 1),2721,AC,2000,2000,36.522894,-100.891300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,27.000000,01N,20E,CAMRICK (SARGENT NO. 1),2721,AC,1200,1000,36.522894,-100.891300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,27.000000,01N,20E,CAMRICK (GEORGE SARGENT NO. 1),2771,TM,2000,2000,36.519269,-100.891300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,27.000000,01N,20E,CAMRICK (GEORGE SARGENT NO. 1),2771,TM,0,0,36.519269,-100.891300,16896.000000,CHAPARRAL ENERGY LLC
7.000000,34.000000,01N,20E,CAMRICK,3415,TM,2000,2000,36.508846,-100.890700,16896.000000,CHAPARRAL ENERGY LLC
7.000000,34.000000,01N,20E,CAMRICK UNIT,3472,AC,2000,2000,36.505674,-100.890200,16896.000000,CHAPARRAL ENERGY LLC
7.000000,34.000000,01N,20E,CAMRICK UNIT,3472,AC,2000,690,36.505674,-100.890200,16896.000000,CHAPARRAL ENERGY LLC
7.000000,15.000000,02N,20E,S BOYD EXTENSION UNIT,11-1,TM,0,0,36.638905,-100.886800,19961.000000,HUNTINGTON ENERGY LLC
